		
Frequency	dB	Unweighted
6852	85.0	
6952	84.9	
7053	84.8	
7155	84.7	
7259	84.7	
7365	84.9	
7472	85.4	
7581	85.9	
7691	86.5	
7803	86.9	
7916	87.3	
8032	87.9	
8148	88.4	
8267	88.9	
8387	89.2	
8509	89.5	
8633	89.6	
8758	89.5	
8886	89.1	
9015	88.4	
9146	87.5	
9279	86.6	
9414	85.8	
9551	85.0	
9690	84.3	
9831	83.7	
9974	83.2	
10119	82.8	
10266	82.6	
10416	82.3	
10567	82.1	
10721	81.8	
10877	81.8	
11035	82.2	
11196	82.6	
11358	82.7	
11524	82.3	
11691	81.4	
11861	80.3	
12034	79.3	
12209	79.0	
12386	78.9	
12567	79.0	
12749	79.5	
12935	80.2	
13123	80.3	
13314	78.9	
13507	76.3	
13704	73.7	
13903	72.0	
14105	71.0	
14311	70.4	
14519	69.9	
14730	69.6	
14944	69.3	
15162	68.8	
15382	68.1	
15606	67.7	
15833	68.0	
16063	67.3	
16297	66.2	
16534	65.0	
16774	63.6	
17018	62.2	
17266	61.0	
17517	60.1	
17772	59.3	
18030	57.7	
18293	55.5	
18559	53.4	
18829	54.3	
19102	56.0	
19380	56.2	
20000	55.6	
overall dB	0.0 dB	
decay	Average	
averaging	No Smoothing	
source	Totally Made Up	
		
		
saved	--/-/--, --:-- AM	
peak	0.0Hz	
