		
Frequency	dB	Unweighted
6852	92.0	
6952	91.1	
7053	90.3	
7155	89.7	
7259	89.3	
7365	89.2	
7472	89.4	
7581	89.7	
7691	90.1	
7803	90.7	
7916	91.3	
8032	91.9	
8148	92.7	
8267	93.5	
8387	94.3	
8509	95.0	
8633	95.0	
8758	93.9	
8886	91.7	
9015	88.6	
9146	85.1	
9279	82.2	
9414	82.1	
9551	83.9	
9690	85.8	
9831	87.4	
9974	89.0	
10119	90.5	
10266	91.9	
10416	93.1	
10567	94.1	
10721	94.8	
10877	95.2	
11035	95.3	
11196	95.2	
11358	95.2	
11524	95.7	
11691	96.3	
11861	97.1	
12034	97.8	
12209	98.3	
12386	98.5	
12567	98.5	
12749	98.0	
12935	97.4	
13123	97.0	
13314	97.0	
13507	97.3	
13704	97.8	
13903	98.3	
14105	98.6	
14311	99.0	
14519	100.2	
14730	102.0	
14944	103.4	
15162	104.1	
15382	104.2	
15606	104.1	
15833	103.5	
16063	102.4	
16297	101.1	
16534	99.6	
16774	98.2	
17018	97.2	
17266	95.6	
17517	92.5	
17772	88.4	
18030	84.3	
18293	79.9	
18559	76.6	
18829	78.7	
19102	80.4	
19380	80.1	
20000	78.1	
overall dB	0.0 dB	
decay	Average	
averaging	No Smoothing	
source	Totally Made Up	
		
		
saved	--/-/--, --:-- AM	
peak	0.0Hz	
