Frequency	dB	Unweighted
6852	87.6	
6952	86.9	
7053	86.2	
7155	85.6	
7259	85.1	
7365	84.6	
7472	84.4	
7581	84.3	
7691	84.1	
7803	84.0	
7916	83.9	
8032	83.7	
8148	83.7	
8267	83.8	
8387	83.9	
8509	84.1	
8633	84.4	
8758	84.8	
8886	85.4	
9015	85.9	
9146	86.4	
9279	86.7	
9414	86.3	
9551	85.1	
9690	83.3	
9831	81.3	
9974	79.4	
10119	77.7	
10266	76.2	
10416	74.9	
10567	73.6	
10721	72.5	
10877	71.6	
11035	70.9	
11196	70.5	
11358	71.2	
11524	72.9	
11691	74.6	
11861	75.7	
12034	76.0	
12209	75.7	
12386	74.5	
12567	72.6	
12749	71.2	
12935	70.7	
13123	70.7	
13314	70.8	
13507	71.3	
13704	72.4	
13903	73.9	
14105	75.2	
14311	75.9	
14519	75.9	
14730	75.6	
14944	75.5	
15162	75.7	
15382	77.0	
15606	78.3	
15833	78.8	
16063	77.9	
16297	75.6	
16534	73.6	
16774	72.9	
17018	73.2	
17266	73.8	
17517	73.9	
17772	72.7	
18030	70.3	
18293	67.6	
18559	65.8	
18829	65.4	
19102	65.6	
19380	65.8	
20000	65.7	
overall dB	0.0 dB	
decay	Average	
averaging	No Smoothing	
source	Totally Made Up	
		
		
saved	--/-/--, --:-- AM	
peak	0.0Hz	
