Freq(Hz) SPL(dB) Phase(degrees)
135.518 96.205 50.750
136.500 96.223 50.416
137.490 96.233 50.081
138.486 96.238 49.771
139.489 96.240 49.500
140.500 96.242 49.270
141.518 96.249 49.064
142.544 96.261 48.864
143.577 96.276 48.650
144.617 96.292 48.410
145.665 96.306 48.143
146.721 96.315 47.861
147.784 96.319 47.582
148.855 96.317 47.328
149.933 96.312 47.114
151.020 96.310 46.936
152.114 96.314 46.770
153.217 96.323 46.579
154.327 96.332 46.349
155.445 96.338 46.096
156.572 96.342 45.841
157.706 96.345 45.588
158.849 96.349 45.338
160.000 96.356 45.077
161.159 96.361 44.780
162.327 96.359 44.446
163.504 96.342 44.135
164.688 96.317 43.924
165.882 96.295 43.826
167.084 96.287 43.778
168.295 96.290 43.711
169.514 96.296 43.595
170.742 96.302 43.433
171.980 96.302 43.236
173.226 96.294 43.032
174.481 96.279 42.862
175.746 96.263 42.752
177.019 96.253 42.676
178.302 96.251 42.579
179.594 96.248 42.441
180.895 96.242 42.287
182.206 96.233 42.141
183.527 96.223 42.011
184.856 96.213 41.891
186.196 96.203 41.778
187.545 96.196 41.662
188.904 96.187 41.523
190.273 96.173 41.368
191.652 96.152 41.226
193.041 96.126 41.112
194.440 96.095 41.040
195.849 96.063 41.044
197.268 96.043 41.101
198.697 96.036 41.122
200.137 96.031 41.069
201.587 96.019 40.990
203.048 96.003 40.926
204.520 95.985 40.880
206.002 95.965 40.869
207.494 95.945 40.908
208.998 95.930 40.986
210.512 95.921 41.075
212.038 95.913 41.161
213.574 95.906 41.255
215.122 95.901 41.354
216.681 95.897 41.443
218.251 95.891 41.526
219.833 95.884 41.635
221.426 95.880 41.774
223.030 95.882 41.915
224.646 95.888 42.040
226.274 95.897 42.160
227.914 95.912 42.263
229.565 95.930 42.323
231.229 95.947 42.345
232.905 95.961 42.352
234.592 95.977 42.334
236.292 95.990 42.260
238.004 95.994 42.152
239.729 95.990 42.076
241.466 95.985 42.046
243.216 95.984 42.025
244.979 95.981 41.996
246.754 95.976 41.991
248.542 95.973 42.008
250.343 95.971 41.994
252.157 95.963 41.943
253.984 95.949 41.881
255.825 95.931 41.789
257.678 95.906 41.655
259.546 95.874 41.480
261.426 95.833 41.270
263.321 95.778 41.041
