* Measurement data measured by REW V5.20 Beta 4
* Source: Microphone (E.A.R.S Gain: 18dB  ), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -8.0 dBFS  With no timing reference
* Dated: Jan 28, 2019 11:32:59 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Really big difference between R & L. We had to adjust fit several times to get a good measurement
* Measurement: Bose QC 35 II L
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.1 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
663.527 106.107 32.237
668.335 106.184 31.985
673.178 106.262 31.705
678.056 106.340 31.404
682.970 106.418 31.077
687.919 106.496 30.725
692.904 106.572 30.355
697.925 106.646 29.972
702.982 106.720 29.574
708.076 106.794 29.162
713.208 106.867 28.735
718.376 106.938 28.292
723.581 107.009 27.839
728.825 107.080 27.372
734.106 107.152 26.880
739.426 107.223 26.362
744.784 107.293 25.820
750.181 107.362 25.259
755.617 107.430 24.675
761.093 107.497 24.067
766.608 107.564 23.432
772.163 107.629 22.768
777.758 107.694 22.073
783.394 107.756 21.347
789.071 107.814 20.600
794.789 107.871 19.827
800.548 107.925 19.020
806.349 107.975 18.177
812.193 108.020 17.308
818.078 108.059 16.421
824.006 108.093 15.518
829.977 108.122 14.598
835.992 108.146 13.652
842.050 108.162 12.687
848.151 108.171 11.710
854.297 108.173 10.723
860.488 108.167 9.734
866.724 108.154 8.754
873.004 108.135 7.781
879.330 108.110 6.812
885.702 108.079 5.850
892.120 108.041 4.902
898.585 107.998 3.975
905.097 107.951 3.069
911.655 107.898 2.185
918.262 107.842 1.333
924.916 107.786 0.510
931.618 107.728 -0.301
938.369 107.667 -1.106
945.169 107.604 -1.900
952.018 107.537 -2.677
958.917 107.468 -3.440
965.865 107.397 -4.192
972.864 107.323 -4.931
979.914 107.247 -5.661
987.015 107.167 -6.390
994.167 107.083 -7.114
1,001.371 106.994 -7.823
1,008.628 106.901 -8.516
1,015.937 106.804 -9.191
1,023.299 106.703 -9.844
1,030.714 106.597 -10.468
1,038.183 106.488 -11.060
1,045.706 106.378 -11.620
1,053.283 106.266 -12.151
1,060.916 106.155 -12.657
1,068.604 106.042 -13.139
1,076.347 105.929 -13.603
1,084.147 105.816 -14.052
1,092.003 105.703 -14.482
1,099.916 105.590 -14.896
1,107.887 105.477 -15.296
1,115.915 105.362 -15.686
1,124.001 105.245 -16.066
1,132.146 105.127 -16.432
1,140.350 105.007 -16.782
1,148.614 104.886 -17.118
1,156.937 104.764 -17.448
1,165.321 104.637 -17.770
1,173.765 104.507 -18.067
1,182.271 104.374 -18.335
1,190.838 104.240 -18.584
1,199.467 104.104 -18.819
1,208.159 103.965 -19.033
1,216.914 103.824 -19.218
1,225.732 103.680 -19.373
1,234.614 103.536 -19.498
1,243.561 103.391 -19.598
1,252.572 103.247 -19.677
1,261.649 103.102 -19.729
1,270.791 102.955 -19.747
1,280.000 102.809 -19.738
1,289.275 102.664 -19.704
1,298.618 102.518 -19.644
1,308.028 102.372 -19.552
1,317.507 102.226 -19.423
1,327.054 102.083 -19.269
1,336.670 101.943 -19.098
1,346.357 101.804 -18.911
1,356.113 101.667 -18.717
1,365.940 101.531 -18.525
1,375.838 101.394 -18.336
1,385.808 101.250 -18.146
1,395.850 101.095 -17.896
1,405.965 100.938 -17.521
1,416.153 100.797 -17.057
1,426.415 100.676 -16.627
1,436.751 100.560 -16.294
1,447.163 100.438 -16.031
1,457.649 100.307 -15.786
1,468.212 100.167 -15.531
1,478.851 100.019 -15.254
1,489.568 99.864 -14.950
1,500.362 99.705 -14.604
1,511.234 99.540 -14.202
1,522.185 99.373 -13.734
1,533.215 99.202 -13.202
1,544.326 99.030 -12.602
1,555.517 98.855 -11.923
1,566.789 98.680 -11.157
1,578.142 98.506 -10.301
1,589.578 98.338 -9.348
1,601.097 98.180 -8.305
1,612.699 98.037 -7.197
1,624.385 97.908 -6.060
1,636.156 97.790 -4.926
1,648.012 97.678 -3.803
1,659.955 97.570 -2.664
1,671.983 97.469 -1.493
1,684.099 97.377 -0.307
1,696.303 97.292 0.881
1,708.595 97.214 2.066
1,720.976 97.143 3.233
1,733.447 97.075 4.379
1,746.008 97.008 5.515
1,758.661 96.941 6.656
1,771.405 96.877 7.817
1,784.241 96.815 9.004
1,797.170 96.758 10.214
1,810.193 96.707 11.440
1,823.311 96.661 12.664
1,836.523 96.617 13.897
1,849.831 96.576 15.150
1,863.236 96.538 16.432
1,876.738 96.506 17.735
1,890.338 96.478 19.055
1,904.036 96.457 20.399
1,917.833 96.445 21.763
1,931.730 96.441 23.137
1,945.729 96.445 24.516
1,959.828 96.460 25.891
1,974.030 96.483 27.233
1,988.334 96.511 28.534
2,002.743 96.540 29.807
2,017.255 96.570 31.071
2,031.873 96.601 32.339
2,046.597 96.633 33.632
2,061.428 96.666 34.992
2,076.365 96.714 36.473
2,091.412 96.802 37.997
2,106.567 96.927 39.340
2,121.832 97.061 40.405
2,137.208 97.183 41.250
2,152.695 97.287 41.977
2,168.294 97.375 42.650
2,184.007 97.449 43.291
2,199.833 97.509 43.915
2,215.774 97.556 44.548
2,231.830 97.590 45.215
2,248.003 97.615 45.926
2,264.293 97.634 46.674
2,280.701 97.649 47.464
2,297.228 97.660 48.291
2,313.874 97.667 49.131
2,330.642 97.667 49.979
2,347.530 97.652 50.849
2,364.542 97.617 51.798
2,381.676 97.563 52.915
2,398.935 97.501 54.255
2,416.318 97.442 55.828
2,433.828 97.396 57.607
2,451.464 97.367 59.576
2,469.229 97.358 61.724
2,487.122 97.373 64.052
2,505.145 97.419 66.556
2,523.298 97.500 69.205
2,541.583 97.624 71.951
2,560.000 97.795 74.745
2,578.551 98.014 77.536
2,597.236 98.280 80.282
2,616.057 98.594 82.946
2,635.014 98.955 85.485
2,654.108 99.362 87.841
2,673.341 99.812 89.948
2,692.713 100.297 91.755
2,712.226 100.812 93.218
2,731.879 101.343 94.298
2,751.676 101.879 94.973
2,771.615 102.405 95.249
2,791.700 102.911 95.160
2,811.930 103.390 94.754
2,832.306 103.839 94.051
2,852.830 104.246 93.080
2,873.503 104.601 91.927
2,894.325 104.901 90.715
2,915.299 105.153 89.558
2,936.424 105.369 88.523
2,957.703 105.562 87.627
2,979.136 105.740 86.855
3,000.724 105.906 86.185
3,022.468 106.058 85.599
3,044.370 106.196 85.124
3,066.431 106.326 84.799
3,088.652 106.457 84.611
3,111.033 106.591 84.530
3,133.577 106.728 84.551
3,156.284 106.867 84.693
3,179.156 107.014 84.986
3,202.193 107.184 85.436
3,225.398 107.390 85.994
3,248.771 107.644 86.515
3,272.312 107.929 86.817
3,296.025 108.209 86.817
3,319.909 108.448 86.650
3,343.967 108.636 86.652
3,368.198 108.810 87.178
3,392.606 109.050 88.315
3,417.190 109.432 89.669
3,441.952 109.945 90.534
3,466.894 110.493 90.550
3,492.017 111.010 89.985
3,517.321 111.501 89.141
3,542.809 111.983 88.061
3,568.482 112.453 86.698
3,594.341 112.897 85.054
3,620.387 113.304 83.227
3,646.622 113.678 81.402
3,673.046 114.054 79.673
3,699.663 114.465 77.804
3,726.472 114.878 75.426
3,753.476 115.235 72.562
3,780.675 115.516 69.513
3,808.071 115.732 66.489
3,835.666 115.895 63.583
3,863.461 116.016 60.839
3,891.457 116.102 58.306
3,919.656 116.167 56.027
3,948.060 116.226 54.016
3,976.669 116.295 52.266
4,005.486 116.385 50.747
4,034.511 116.505 49.373
4,063.747 116.661 48.049
