*	Measurement	data	measured	by	REW	V5.20	Beta	4												
*	Source:	Microphone	(E.A.R.S	Gain:	18dB	),	no	input	selected,	L,	volume:	no	control							
*	Format:	256k	Log	Swept	Sine,	1	sweep	at	-8	dBFS	With	no	timing	reference						
*	Dated:	Jan	28,	2019	11.32.59	AM														
*	REW	Settings:																		
*	C-weighting	compensation:	Off																	
*	Target	level:	75	dB																
*	Note:	Really	big	difference	between	R	&	L.	We	had	to	adjust	fit	several	times	to	get	a	good	measurement
*	Measurement:	Bose	QC	35	II	L														
*	Smoothing:	Jan/48	octave																	
*	Frequency	Step:	Jan/96	octave																
*	Start	Frequency:	20,1	Hz																
*																				
*	Freq(Hz)	SPL(dB)	Phase(degrees)																	
5.385,43	107,238	-62,404																		
5.424,45	106,334	-61,393																		
5.463,76	105,342	-58,509																		
5.503,35	104,48	-53,322																		
5.543,23	104,002	-47,307																		
5.583,40	103,805	-41,837																		
5.623,86	103,815	-36,41																		
5.664,61	104,153	-31,706																		
5.705,66	104,664	-29,175																		
5.747,01	105,116	-28,746																		
5.788,65	105,433	-29,579																		
5.830,60	105,622	-31,141																		
5.872,85	105,689	-33,209																		
5.915,41	105,612	-35,56																		
5.958,27	105,377	-37,85																		
6.001,45	105,003	-39,669																		
6.044,94	104,538	-40,757																		
6.088,74	104,035	-41,113																		
6.132,86	103,522	-40,832																		
6.177,30	103,01	-39,956																		
6.222,07	102,51	-38,476																		
6.267,15	102,046	-36,411																		
6.312,57	101,644	-33,848																		
6.358,31	101,323	-30,917																		
6.404,39	101,096	-27,771																		
6.450,80	100,965	-24,553																		
6.497,54	100,923	-21,379																		
6.544,63	100,969	-18,355																		
6.592,05	101,1	-15,593																		
6.639,82	101,308	-13,238																		
6.687,93	101,575	-11,43																		
6.736,40	101,878	-10,247																		
6.785,21	102,195	-9,746																		
6.834,38	102,494	-9,987																		
6.883,91	102,738	-10,933																		
6.933,79	102,894	-12,391																		
6.984,03	102,952	-14,162																		
7.034,64	102,904	-16,129																		
7.085,62	102,737	-18,149																		
7.136,96	102,439	-19,921																		
7.188,68	102,013	-20,98																		
7.240,77	101,496	-20,954																		
7.293,24	100,957	-19,706																		
7.346,09	100,473	-17,254																		
7.399,33	100,122	-13,777																		
7.452,94	99,971	-9,623																		
7.506,95	100,053	-5,406																		
7.561,35	100,341	-1,744																		
7.616,14	100,769	0,973																		
7.671,33	101,262	2,538																		
7.726,92	101,749	2,99																		
7.782,92	102,199	2,574																		
7.839,31	102,606	1,462																		
7.896,12	102,954	-0,286																		
7.953,34	103,217	-2,651																		
8.010,97	103,365	-5,544																		
8.069,02	103,367	-8,685																		
8.127,49	103,231	-11,67																		
8.186,39	102,989	-14,251																		
8.245,71	102,648	-16,411																		
8.305,46	102,188	-17,924																		
8.365,65	101,621	-18,023																		
8.426,27	101,095	-16,161																		
8.487,33	100,837	-13,104																		
8.548,83	100,89	-10,387																		
8.610,78	101,106	-8,925																		
8.673,18	101,328	-8,696																		
8.736,03	101,489	-9,188																		
8.799,33	101,601	-10,043																		
8.863,10	101,678	-11,256																		
8.927,32	101,704	-12,85																		
8.992,01	101,651	-14,698																		
9.057,17	101,502	-16,556																		
9.122,80	101,266	-18,132																		
9.188,91	100,974	-19,248																		
9.255,50	100,662	-19,893																		
9.322,57	100,369	-20,159																		
9.390,12	100,112	-20,198																		
9.458,17	99,883	-20,176																		
9.526,70	99,672	-20,172																		
9.595,74	99,468	-20,193																		
9.665,27	99,264	-20,259																		
9.735,31	99,057	-20,428																		
9.805,86	98,835	-20,766																		
9.876,92	98,572	-21,259																		
9.948,49	98,241	-21,726																		
10.020,58	97,83	-21,843																		
10.093,19	97,354	-21,278																		
10.166,33	96,86	-19,8																		
10.240,00	96,426	-17,425																		
10.314,20	96,121	-14,531																		
10.388,94	95,959	-11,653																		
10.464,23	95,9	-9,132																		
10.540,06	95,894	-6,994																		
10.616,43	95,915	-5,115																		
10.693,36	95,965	-3,495																		
10.770,85	96,035	-2,248																		
10.848,90	96,1	-1,412																		
10.927,52	96,139	-0,869																		
11.006,70	96,139	-0,424																		
11.086,46	96,105	0,084																		
11.166,80	96,053	0,766																		
11.247,72	96,006	1,647																		
11.329,22	95,987	2,638																		
11.411,32	96,011	3,61																		
11.494,01	96,089	4,4																		
11.577,30	96,206	4,799																		
11.661,20	96,324	4,623																		
11.745,70	96,385	3,847																		
11.830,81	96,341	2,706																		
11.916,54	96,172	1,644																		
12.002,90	95,904	1,075																		
12.089,87	95,58	1,177																		
12.177,48	95,235	1,989																		
12.265,72	94,894	3,681																		
12.354,61	94,615	6,494																		
12.444,13	94,53	10,291																		
12.534,31	94,761	14,146																		
12.625,14	95,262	16,72																		
12.716,62	95,841	17,258																		
12.808,77	96,315	16,015																		
12.901,59	96,609	13,794																		
12.995,08	96,733	11,317																		
13.089,25	96,734	8,98																		
13.184,10	96,662	6,869																		
13.279,64	96,536	4,917																		
13.375,87	96,349	3,085																		
13.472,79	96,084	1,479																		
13.570,42	95,745	0,317																		
13.668,76	95,357	-0,177																		
13.767,81	94,971	0,01																		
13.867,58	94,618	0,671																		
13.968,07	94,302	1,755																		
14.069,29	94,052	3,356																		
14.171,24	93,925	5,223																		
14.273,93	93,936	6,781																		
14.377,36	94,017	7,655																		
14.481,55	94,098	7,831																		
14.586,49	94,151	7,476																		
14.692,19	94,162	6,737																		
14.798,65	94,099	5,72																		
14.905,89	93,934	4,672																		
15.013,90	93,666	4,064																		
15.122,70	93,351	4,278																		
15.232,29	93,076	5,332																		
15.342,66	92,919	7,005																		
15.453,84	92,938	8,851																		
15.565,83	93,129	10,18																		
15.678,63	93,418	10,371																		
15.792,24	93,698	9,201																		
15.906,68	93,888	6,889																		
16.021,94	93,944	3,932																		
16.138,04	93,859	0,799																		
16.254,99	93,649	-2,319																		
16.372,78	93,312	-5,196																		
16.491,42	92,884	-7,533																		
16.610,92	92,427	-9,469																		
16.731,30	91,942	-11,442																		
16.852,54	91,352	-13,491																		
16.974,66	90,597	-14,945																		
17.097,66	89,699	-14,896																		
17.221,56	88,772	-12,844																		
17.346,35	87,99	-9,007																		
17.472,05	87,502	-4,3																		
17.598,66	87,326	0,172																		
17.726,19	87,378	3,767																		
17.854,64	87,563	6,181																		
17.984,02	87,775	7,243																		
18.114,34	87,924	7,202																		
18.245,61	87,974	6,51																		
18.377,82	87,927	5,532																		
18.510,99	87,809	4,455																		
18.645,13	87,646	3,259																		
18.780,24	87,439	1,83																		
18.916,33	87,15	0,116																		
19.053,41	86,721	-1,703																		
19.191,48	86,112	-3,055																		
19.330,55	85,35	-3,136																		
19.470,62	84,542	-1,418																		
19.611,72	83,816	2,01																		
19.753,83	83,298	6,561																		
19.896,98	83,048	10,921																		
