*	Measurement	data	measured	by	REW	V5.20	Beta	4												
*	Source:	Microphone	(E.A.R.S	Gain:	18dB	),	no	input	selected,	L,	volume:	no	control							
*	Format:	256k	Log	Swept	Sine,	1	sweep	at	-8	dBFS	With	no	timing	reference						
*	Dated:	Jan	28,	2019	11.32.59	AM														
*	REW	Settings:																		
*	C-weighting	compensation:	Off																	
*	Target	level:	75	dB																
*	Note:	Really	big	difference	between	R	&	L.	We	had	to	adjust	fit	several	times	to	get	a	good	measurement
*	Measurement:	Bose	QC	35	II	L														
*	Smoothing:	Jan/48	octave																	
*	Frequency	Step:	Jan/96	octave																
*	Start	Frequency:	20,1	Hz																
*																				
*	Freq(Hz)	SPL(dB)	Phase(degrees)																	
91,103	98,281	71,273																		
91,763	98,306	70,797																		
92,428	98,325	70,301																		
93,098	98,338	69,799																		
93,773	98,344	69,314																		
94,452	98,346	68,856																		
95,137	98,344	68,428																		
95,826	98,341	68,026																		
96,52	98,336	67,651																		
97,22	98,331	67,302																		
97,924	98,326	66,976																		
98,634	98,322	66,66																		
99,349	98,317	66,346																		
100,069	98,309	66,041																		
100,794	98,298	65,769																		
101,524	98,285	65,548																		
102,26	98,276	65,377																		
103,001	98,275	65,231																		
103,747	98,281	65,073																		
104,499	98,291	64,88																		
105,256	98,302	64,644																		
106,019	98,307	64,365																		
106,787	98,303	64,056																		
107,561	98,284	63,757																		
108,34	98,249	63,541																		
109,126	98,206	63,486																		
109,916	98,172	63,612																		
110,713	98,161	63,863																		
111,515	98,18	64,125																		
112,323	98,222	64,3																		
113,137	98,272	64,348																		
113,957	98,321	64,288																		
114,783	98,363	64,165																		
115,614	98,397	64,023																		
116,452	98,426	63,885																		
117,296	98,454	63,754																		
118,146	98,481	63,618																		
119,002	98,506	63,468																		
119,865	98,527	63,314																		
120,733	98,542	63,18																		
121,608	98,555	63,086																		
122,489	98,571	63,031																		
123,377	98,591	62,991																		
124,271	98,616	62,938																		
125,171	98,641	62,865																		
126,078	98,663	62,784																		
126,992	98,683	62,719																		
127,912	98,703	62,69																		
128,839	98,728	62,692																		
129,773	98,763	62,683																		
130,713	98,802	62,612																		
131,66	98,836	62,463																		
132,615	98,853	62,303																		
133,575	98,857	62,238																		
134,543	98,866	62,323																		
135,518	98,895	62,489																		
136,5	98,947	62,604																		
137,49	99,005	62,59																		
138,486	99,056	62,487																		
139,489	99,094	62,381																		
